Package Type,Destination,Itinerary,Travel Date,Start City,Airline,Flight Stops,Meals
Premium,Gangtok|Lachung|Gangtok|Pelling|Darjeeling,1N Gangtok . 2N Lachung . 2N Gangtok . 2N Pelling . 2N Darjeeling,12/9/2021,Mumbai,IndiGo,0,5
Standard,Amritsar|Dalhousie|Dharamshala,2N Amritsar . 2N Dalhousie . 2N Dharamshala,12/8/2021,New Delhi,IndiGo,2,3
Premium,New Delhi|Agra|Jaipur,2N New Delhi . 1N Agra . 1N Jaipur,7/11/2021,Mumbai,Not Available,0,5
Standard,Cochin|Munnar|Thekkady|Allepey,1N Cochin . 2N Munnar . 1N Thekkady . 1N Allepey,23-07-2021,Mumbai,Air India,2,3
Deluxe,Kuala Lumpur,4N Kuala Lumpur,12/10/2021,New Delhi,Malaysia Airlines|Malaysia Airlines,1,3
Luxury,Jaipur|Agra|New Delhi,2N Jaipur . 1N Agra . 2N New Delhi,7/10/2021,Mumbai,Spicejet,0,4
Standard,Udaipur|Mount Abu,2N Udaipur . 2N Mount Abu,27-05-2021,New Delhi,IndiGo,2,3
Luxury,Shimla|Manali|Chandigarh,2N Shimla . 3N Manali . 1N Chandigarh,20-12-2021,New Delhi,Not Available,0,4
Standard,Gulmarg|Pahalgam|Srinagar,1N Gulmarg . 2N Pahalgam . 2N Srinagar,26-01-2021,New Delhi,IndiGo|IndiGo,2,3
Premium,Kodaikanal,2N Kodaikanal,20-03-2021,New Delhi,Air India,0,5
Standard,Corbett|Mussoorie,2N Corbett . 2N Mussoorie,25-04-2021,Mumbai,Not Available,2,3
Deluxe,Namchi|Pelling|Gangtok|Lachung|Gangtok,1N Namchi . 1N Pelling . 2N Gangtok . 1N Lachung . 1N Gangtok,17-12-2021,Mumbai,Not Available,1,3
Standard,Kandy|Colombo,1N Kandy . 1N Colombo,19-11-2021,Mumbai,IndiGo|IndiGo|IndiGo|IndiGo,2,3
Standard,Guwahati|Cherrapunjee|Shillong,1N Guwahati . 2N Cherrapunjee . 2N Shillong,11/1/2022,Mumbai,Spicejet,2,3
Luxury,Coorg,3N Coorg,18-12-2021,Mumbai,IndiGo,0,4
Standard,Dalhousie|Manali|Chandigarh,2N Dalhousie . 3N Manali . 1N Chandigarh,23-12-2021,New Delhi,Not Available,2,3
Standard,Kodaikanal,2N Kodaikanal,7/10/2021,Mumbai,Not Available,2,3
Luxury,Kovalam and Poovar|Allepey|Munnar,2N Kovalam and Poovar . 1N Allepey . 2N Munnar,8/7/2021,New Delhi,Air India|IndiGo,0,4
Premium,Udaipur|Mount Abu,2N Udaipur . 1N Mount Abu,26-05-2021,Mumbai,IndiGo,0,5
Standard,Nainital|Haridwar|Mussoorie,3N Nainital . 1N Haridwar . 2N Mussoorie,21-04-2021,Mumbai,Spicejet,2,3
Standard,Mysore|Ooty,1N Mysore . 2N Ooty,6/11/2021,Mumbai,Not Available,2,3
Luxury,Srinagar|Gulmarg|Pahalgam|Srinagar,1N Srinagar . 1N Gulmarg . 1N Pahalgam . 1N Srinagar,23-09-2021,New Delhi,IndiGo|IndiGo,0,4
Deluxe,Kovalam|Kanyakumari|Rameshwaram|Madurai,2N Kovalam . 1N Kanyakumari . 1N Rameshwaram . 1N Madurai,26-04-2021,New Delhi,Spicejet|Air India,1,3
Premium,Jaipur|Jodhpur|Udaipur,2N Jaipur . 1N Jodhpur . 1N Udaipur,18-03-2021,New Delhi,IndiGo|IndiGo,0,5
Deluxe,Kandy|Bentota|Colombo,2N Kandy . 1N Bentota . 1N Colombo,1/10/2021,Mumbai,IndiGo|IndiGo|IndiGo|IndiGo,1,3
Luxury,Coorg,2N Coorg,25-02-2021,New Delhi,Vistara,0,4
Standard,Allepey,2N Allepey,26-04-2021,New Delhi,IndiGo,2,3
Premium,Bandipur|Ooty|Kodaikanal,1N Bandipur . 2N Ooty . 2N Kodaikanal,7/11/2021,New Delhi,IndiGo|IndiGo,0,5
Luxury,Munnar|Allepey|Kovalam and Poovar,2N Munnar . 1N Allepey . 3N Kovalam and Poovar,25-09-2021,New Delhi,IndiGo,0,4
Standard,Madurai|Rameshwaram|Kanyakumari|Kovalam and Poovar,1N Madurai . 1N Rameshwaram . 1N Kanyakumari . 2N Kovalam and Poovar,14-05-2021,New Delhi,Not Available,2,3
Standard,Port Blair|Havelock|Port Blair,1N Port Blair . 2N Havelock . 1N Port Blair,18-12-2021,Mumbai,IndiGo|IndiGo,2,3
Premium,Cochin|Munnar|Thekkady|Allepey,1N Cochin . 2N Munnar . 1N Thekkady . 1N Allepey,6/8/2021,New Delhi,Go Air,0,5
Deluxe,Kuala Lumpur,3N Kuala Lumpur,25-05-2021,New Delhi,IndiGo|IndiGo|IndiGo|IndiGo,1,3
Premium,Munnar,3N Munnar,20-08-2021,Mumbai,IndiGo,0,5
Standard,Nuwara Eliya|Yala|Bentota|Colombo,1N Nuwara Eliya . 1N Yala . 1N Bentota . 1N Colombo,8/6/2021,New Delhi,IndiGo|IndiGo|IndiGo|IndiGo,2,3
Deluxe,Munnar|Thekkady|Allepey,2N Munnar . 2N Thekkady . 1N Allepey,29-09-2021,Mumbai,Spicejet,1,3
Premium,Gangtok|Darjeeling|Siliguri,4N Gangtok . 2N Darjeeling . 1N Siliguri,20-09-2021,Mumbai,Spicejet,0,5
Deluxe,Madurai|Kodaikanal,1N Madurai . 2N Kodaikanal,8/12/2021,Mumbai,Spicejet|Spicejet,1,3
Deluxe,Cochin|Munnar,1N Cochin . 1N Munnar,23-07-2021,New Delhi,Vistara,1,3
Premium,Darjeeling|Gangtok|Lachung|Gangtok,2N Darjeeling . 1N Gangtok . 2N Lachung . 2N Gangtok,4/7/2021,New Delhi,Go Air,0,5
Premium,Jaipur|Jaisalmer|Udaipur,2N Jaipur . 2N Jaisalmer . 2N Udaipur,29-10-2021,New Delhi,IndiGo|IndiGo,0,5
Premium,Pattaya,4N Pattaya,24-04-2021,Mumbai,Spicejet|Spicejet,0,5
Luxury,Mysore|Coorg|Ooty,1N Mysore . 2N Coorg . 2N Ooty,5/7/2021,New Delhi,Spicejet,0,4
Deluxe,Paris,4N Paris,21-04-2021,Mumbai,Air India|Air India|Lufthansa|Lufthansa,1,3
Standard,New Delhi|Shimla|Manali|Chandigarh,1N New Delhi . 2N Shimla . 3N Manali . 1N Chandigarh,15-12-2021,Mumbai,Go Air,2,3
Deluxe,Gangtok|Pelling|Darjeeling,2N Gangtok . 2N Pelling . 2N Darjeeling,3/9/2021,Mumbai,Spicejet,1,3
Premium,New Delhi|Agra|Jaipur|Pushkar,1N New Delhi . 1N Agra . 2N Jaipur . 1N Pushkar,4/6/2021,Mumbai,Spicejet,0,5
Premium,Coorg|Mysore|Ooty,2N Coorg . 1N Mysore . 3N Ooty,28-08-2021,New Delhi,IndiGo,0,5
Standard,Srinagar,3N Srinagar,20-10-2021,New Delhi,Spicejet|Spicejet,2,3
Premium,Shimla|Manali,3N Shimla . 3N Manali,2/1/2022,New Delhi,Go Air,0,5
Standard,Munnar|Allepey|Kovalam,2N Munnar . 2N Allepey . 2N Kovalam,11/3/2021,New Delhi,Spicejet|IndiGo,2,3
Standard,Coorg|Wayanad|Mysore|Bangalore,2N Coorg . 2N Wayanad . 1N Mysore . 2N Bangalore,13-04-2021,Mumbai,IndiGo,2,3
Standard,Shimla|Manali|Chandigarh,2N Shimla . 4N Manali . 1N Chandigarh,25-05-2021,New Delhi,Go Air,2,3
Luxury,Tirupati|Pondicherry,1N Tirupati . 2N Pondicherry,19-04-2021,New Delhi,IndiGo,0,4
Premium,Chail|Shimla,1N Chail . 2N Shimla,24-03-2021,Mumbai,Not Available,0,5
Premium,Munnar|Thekkady|Allepey,2N Munnar . 1N Thekkady . 1N Allepey,4/1/2022,New Delhi,IndiGo,0,5
Deluxe,Srinagar|Gulmarg|Pahalgam|Srinagar,1N Srinagar . 1N Gulmarg . 2N Pahalgam . 2N Srinagar,14-05-2021,Mumbai,IndiGo,1,3
Premium,Gangtok|Lachung|Gangtok|Darjeeling,2N Gangtok . 2N Lachung . 1N Gangtok . 2N Darjeeling,10/2/2021,Mumbai,IndiGo,0,5
Deluxe,Nainital|Kausani|Ranikhet|New Delhi,2N Nainital . 2N Kausani . 1N Ranikhet . 1N New Delhi,2/6/2021,Mumbai,Air India,1,3
Deluxe,Ooty|Coorg,2N Ooty . 2N Coorg,24-06-2021,Mumbai,Vistara,1,3
Premium,Phuentsholing|Thimpu|Punakha|Paro|Phuentsholing,1N Phuentsholing . 2N Thimpu . 1N Punakha . 2N Paro . 1N Phuentsholing,26-08-2021,New Delhi,Go Air,0,5
Standard,Gangtok|Darjeeling,2N Gangtok . 2N Darjeeling,17-04-2021,Mumbai,Spicejet,2,3
Luxury,Kanyakumari|Rameshwaram|Madurai|Tirupati,1N Kanyakumari . 1N Rameshwaram . 1N Madurai . 2N Tirupati,7/8/2021,Mumbai,Spicejet|Spicejet|Air India,0,4
Standard,Manali|Chandigarh,3N Manali . 1N Chandigarh,22-08-2021,Mumbai,Air India,2,3
Deluxe,Ooty|Kodaikanal,3N Ooty . 2N Kodaikanal,8/7/2021,New Delhi,Spicejet|Spicejet,1,3
Deluxe,Goa,2N Goa,21-08-2021,New Delhi,Go Air,1,3
Deluxe,Nainital|Corbett|Mussoorie,2N Nainital . 1N Corbett . 2N Mussoorie,28-02-2021,New Delhi,Not Available,1,3
Deluxe,Munnar|Thekkady|Allepey,2N Munnar . 1N Thekkady . 2N Allepey,11/8/2021,Mumbai,IndiGo,1,3
Standard,Bali,6N Bali,17-06-2021,New Delhi,Malindo Air|Malindo Air|Malindo Air|Malindo Air,2,3
Premium,Mussoorie|Corbett|Nainital|New Delhi,2N Mussoorie . 1N Corbett . 2N Nainital . 1N New Delhi,30-07-2021,New Delhi,Go Air,0,5
Luxury,Bali,6N Bali,22-03-2022,Mumbai,Malindo Air|Malindo Air|Malindo Air|Malindo Air,0,4
Luxury,Srinagar|Gulmarg,2N Srinagar . 2N Gulmarg,13-03-2021,New Delhi,IndiGo,0,4
Premium,Gangtok|Lachung|Gangtok|Pelling|Darjeeling,2N Gangtok . 2N Lachung . 1N Gangtok . 2N Pelling . 2N Darjeeling,26-02-2021,Mumbai,IndiGo,0,5
Budget,Allepey,2N Allepey,23-01-2021,New Delhi,IndiGo,2,2
Deluxe,Coorg|Ooty,2N Coorg . 3N Ooty,30-03-2021,New Delhi,IndiGo,1,3
Deluxe,Munnar,3N Munnar,29-09-2021,New Delhi,Not Available,1,3
Deluxe,Srinagar|Gulmarg|Pahalgam|Srinagar,1N Srinagar . 1N Gulmarg . 2N Pahalgam . 2N Srinagar,24-05-2021,New Delhi,IndiGo,1,3
Deluxe,Bangalore|Mysore|Ooty,2N Bangalore . 1N Mysore . 2N Ooty,30-07-2021,New Delhi,Spicejet,1,3
Deluxe,Shimla|Kasauli,3N Shimla . 2N Kasauli,10/4/2021,Mumbai,IndiGo,1,3
Standard,Pattaya,4N Pattaya,20-02-2021,Mumbai,Go Air|Go Air,2,3
Premium,Udaipur,3N Udaipur,13-03-2022,New Delhi,Vistara,0,5
Premium,Manali,4N Manali,22-09-2021,New Delhi,Not Available,0,5
Premium,Udaipur|Jodhpur,3N Udaipur . 2N Jodhpur,1/9/2021,Mumbai,IndiGo|IndiGo,0,5
Premium,Allepey|Munnar,2N Allepey . 2N Munnar,5/10/2021,New Delhi,Air India,0,5
Standard,Bandipur|Ooty,1N Bandipur . 2N Ooty,2/7/2021,Mumbai,Vistara|Spicejet,2,3
Premium,Shirdi,2N Shirdi,18-11-2021,New Delhi,Spicejet,0,5
Deluxe,Dalhousie|Dharamshala,2N Dalhousie . 2N Dharamshala,30-03-2021,New Delhi,Air India,1,3
Standard,Shillong|Kaziranga|Guwahati,2N Shillong . 2N Kaziranga . 1N Guwahati,29-06-2021,Mumbai,Spicejet,2,3
Luxury,Shimla|Manali|Chandigarh,2N Shimla . 2N Manali . 1N Chandigarh,19-04-2021,New Delhi,Not Available,0,4
Luxury,Goa,3N Goa,30-08-2021,New Delhi,Go Air,0,4
Deluxe,Corbett|Ranikhet|Nainital,1N Corbett . 2N Ranikhet . 2N Nainital,8/10/2021,Mumbai,Not Available,1,3
Deluxe,Shimla|Chail,3N Shimla . 1N Chail,23-08-2021,New Delhi,Not Available,1,3
Premium,Nainital|Haridwar|Mussoorie,3N Nainital . 1N Haridwar . 2N Mussoorie,21-09-2021,New Delhi,Go Air,0,5
Deluxe,Port Blair|Havelock|Niel Island|Port Blair,2N Port Blair . 2N Havelock . 1N Niel Island . 1N Port Blair,5/10/2021,Mumbai,Go Air,1,3
Premium,Bangalore|Mysore|Coorg|Ooty,1N Bangalore . 1N Mysore . 2N Coorg . 2N Ooty,8/5/2021,New Delhi,Go Air,0,5
Standard,Gangtok|Pelling|Darjeeling,3N Gangtok . 1N Pelling . 3N Darjeeling,3/6/2021,New Delhi,Spicejet,2,3
Luxury,Gangtok|Lachen|Lachung|Gangtok,2N Gangtok . 1N Lachen . 2N Lachung . 1N Gangtok,28-08-2021,New Delhi,Go Air,0,4
Deluxe,Munnar|Thekkady|Allepey|Kovalam,3N Munnar . 1N Thekkady . 2N Allepey . 2N Kovalam,18-10-2021,New Delhi,IndiGo|Spicejet,1,3
Deluxe,Ooty|Mysore,2N Ooty . 1N Mysore,21-07-2021,New Delhi,IndiGo,1,3
Premium,Port Blair|Havelock|Port Blair,1N Port Blair . 1N Havelock . 1N Port Blair,21-03-2021,New Delhi,Not Available,0,5
Standard,Shimla|Manali|New Delhi,2N Shimla . 3N Manali . 1N New Delhi,15-12-2021,New Delhi,Not Available,2,3
Standard,Kandy|Bentota|Colombo,2N Kandy . 2N Bentota . 2N Colombo,31-05-2021,New Delhi,Air India|Air India|Air India|Air India,2,3
Standard,Darjeeling|Gangtok,2N Darjeeling . 2N Gangtok,30-07-2021,New Delhi,Spicejet,2,3
Premium,Amritsar|Manali|Shimla,2N Amritsar . 3N Manali . 2N Shimla,1/6/2021,Mumbai,IndiGo,0,5
Deluxe,Bali|Singapore,3N Bali . 3N Singapore,25-10-2021,New Delhi,Malindo Air|Malindo Air|AirAsia Indonesia|Air India,1,3
Deluxe,Kuala Lumpur|Singapore,3N Kuala Lumpur . 3N Singapore,17-07-2021,New Delhi,Srilankan Airlines|Srilankan Airlines|IndiGo,1,3
Deluxe,Kandy|Nuwara Eliya|Bentota|Colombo,2N Kandy . 2N Nuwara Eliya . 2N Bentota . 1N Colombo,22-06-2021,New Delhi,Air India|Air India|Air India|Air India,1,3
Premium,Gangtok|Pelling|Darjeeling,2N Gangtok . 2N Pelling . 2N Darjeeling,7/2/2021,Mumbai,IndiGo|IndiGo,0,5
Deluxe,Shimla|Manali|New Delhi,2N Shimla . 2N Manali . 2N New Delhi,10/7/2021,New Delhi,Vistara,1,3
Standard,Munnar|Thekkady|Allepey|Kovalam and Poovar,2N Munnar . 1N Thekkady . 1N Allepey . 2N Kovalam and Poovar,8/7/2021,New Delhi,IndiGo|Spicejet,2,3
Premium,Munnar|Kumarakom,2N Munnar . 2N Kumarakom,19-03-2022,New Delhi,Spicejet,0,5
Deluxe,Agra,2N Agra,17-05-2021,Mumbai,Not Available,1,3
Premium,Darjeeling|Gangtok,2N Darjeeling . 2N Gangtok,27-07-2021,Mumbai,IndiGo,0,5
Luxury,Dalhousie|Dharamshala,3N Dalhousie . 2N Dharamshala,4/5/2021,New Delhi,Not Available,0,4
Standard,Shimla|Manali|Dharamshala|Dalhousie|Amritsar,2N Shimla . 3N Manali . 2N Dharamshala . 2N Dalhousie . 1N Amritsar,4/7/2021,Mumbai,Not Available,2,3
Standard,Pondicherry,3N Pondicherry,5/8/2021,New Delhi,Go Air,2,3
Budget,Kaziranga|Guwahati,2N Kaziranga . 1N Guwahati,29-11-2021,New Delhi,IndiGo,2,2
Standard,Kalimpong|Darjeeling,2N Kalimpong . 2N Darjeeling,16-06-2021,New Delhi,Spicejet,2,3
Standard,Kasol|Manali,2N Kasol . 3N Manali,13-09-2021,New Delhi,Not Available,2,3
Budget,Guwahati|Shillong|Cherrapunjee|Shillong|Kaziranga,1N Guwahati . 1N Shillong . 1N Cherrapunjee . 1N Shillong . 2N Kaziranga,13-07-2021,New Delhi,Go Air,2,2
Standard,Cochin|Munnar|Thekkady,1N Cochin . 2N Munnar . 2N Thekkady,31-07-2021,New Delhi,IndiGo,2,3
Deluxe,Munnar|Thekkady|Allepey|Kovalam,2N Munnar . 1N Thekkady . 1N Allepey . 2N Kovalam,21-05-2021,New Delhi,IndiGo|Air India,1,3
Deluxe,Gangtok|Darjeeling|Siliguri,4N Gangtok . 2N Darjeeling . 1N Siliguri,23-11-2021,New Delhi,Go Air,1,3
Luxury,Udaipur,3N Udaipur,28-08-2021,New Delhi,IndiGo,0,4
Premium,Munnar|Allepey,2N Munnar . 1N Allepey,20-06-2021,New Delhi,Go Air,0,5
Deluxe,Mussoorie,2N Mussoorie,17-08-2021,New Delhi,Not Available,1,3
Premium,Munnar|Thekkady|Allepey,2N Munnar . 1N Thekkady . 1N Allepey,13-07-2021,New Delhi,Not Available,0,5
Standard,Munnar|Allepey|Kovalam and Poovar,2N Munnar . 1N Allepey . 2N Kovalam and Poovar,11/3/2021,Mumbai,IndiGo|Spicejet,2,3
Budget,Guwahati|Shillong,1N Guwahati . 2N Shillong,1/5/2021,New Delhi,IndiGo|IndiGo,2,2
Premium,Udaipur,2N Udaipur,8/10/2021,New Delhi,Not Available,0,5
Luxury,Gulmarg|Pahalgam|Srinagar,2N Gulmarg . 2N Pahalgam . 1N Srinagar,23-11-2021,New Delhi,Go Air,0,4
Deluxe,Darjeeling|Gangtok|Kalimpong,2N Darjeeling . 2N Gangtok . 1N Kalimpong,25-04-2021,Mumbai,Spicejet,1,3
Premium,Leh,5N Leh,7/7/2021,Mumbai,Go Air|Go Air,0,5
Deluxe,Darjeeling|Gangtok|Kalimpong,3N Darjeeling . 2N Gangtok . 1N Kalimpong,6/5/2021,New Delhi,Go Air,1,3
Premium,Port Blair|Havelock|Port Blair,1N Port Blair . 2N Havelock . 2N Port Blair,2/3/2021,Mumbai,IndiGo|IndiGo,0,5
Deluxe,Munnar|Thekkady|Allepey|Kovalam and Poovar|Cochin,2N Munnar . 1N Thekkady . 1N Allepey . 2N Kovalam and Poovar . 1N Cochin,11/10/2021,New Delhi,IndiGo,1,3
Standard,New Delhi|Agra|Bharatpur|Ranthambhore|Jaipur,1N New Delhi . 1N Agra . 1N Bharatpur . 2N Ranthambhore . 2N Jaipur,1/5/2021,Mumbai,Vistara|Spicejet,2,3
Standard,Bali,6N Bali,28-04-2021,New Delhi,Not Available,2,3
Deluxe,Jaipur|Pushkar,2N Jaipur . 1N Pushkar,28-05-2021,New Delhi,Spicejet,1,3
Deluxe,Manali,3N Manali,6/8/2021,New Delhi,Not Available,1,3
Deluxe,Leh,3N Leh,15-05-2021,Mumbai,Spicejet|Spicejet,1,3
Deluxe,Kandy|Nuwara Eliya|Yala|Bentota|Colombo,1N Kandy . 1N Nuwara Eliya . 1N Yala . 1N Bentota . 1N Colombo,5/4/2021,New Delhi,Spicejet|Spicejet|Spicejet|Spicejet,1,3
Luxury,Shimla|Manali|Chandigarh,2N Shimla . 3N Manali . 1N Chandigarh,26-09-2021,New Delhi,Go Air,0,4
Premium,Cochin|Munnar|Thekkady|Allepey|Kovalam and Poovar,1N Cochin . 2N Munnar . 1N Thekkady . 1N Allepey . 2N Kovalam and Poovar,4/11/2021,Mumbai,Spicejet|Spicejet,0,5
Standard,Darjeeling|Gangtok,1N Darjeeling . 2N Gangtok,12/1/2022,Mumbai,Spicejet,2,3
Premium,Munnar|Thekkady|Allepey,2N Munnar . 1N Thekkady . 1N Allepey,23-02-2021,Mumbai,Spicejet,0,5
Luxury,Shimla|Manali|Chandigarh|New Delhi,2N Shimla . 3N Manali . 1N Chandigarh . 1N New Delhi,11/7/2021,New Delhi,Go Air,0,4
Deluxe,Srinagar|Gulmarg|Pahalgam|Srinagar,1N Srinagar . 1N Gulmarg . 2N Pahalgam . 2N Srinagar,27-12-2021,Mumbai,Spicejet|Spicejet,1,3
Premium,Port Blair|Havelock|Port Blair,2N Port Blair . 1N Havelock . 1N Port Blair,17-10-2021,New Delhi,IndiGo|IndiGo,0,5
Deluxe,Munnar|Thekkady|Allepey|Kovalam,2N Munnar . 1N Thekkady . 1N Allepey . 2N Kovalam,28-05-2021,New Delhi,IndiGo|Air India,1,3
Luxury,Bali,4N Bali,31-03-2021,Mumbai,Malaysia Airlines|Malaysia Airlines|Malaysia Airlines|Malaysia Airlines,0,4
Standard,Allepey|Munnar|Thekkady,1N Allepey . 2N Munnar . 2N Thekkady,23-11-2021,Mumbai,IndiGo,2,3
Deluxe,Kasauli,2N Kasauli,13-09-2021,New Delhi,Not Available,1,3
Standard,Ooty|Mysore,2N Ooty . 1N Mysore,14-05-2021,Mumbai,Go Air,2,3
Standard,Jaipur|Pushkar|Udaipur,3N Jaipur . 1N Pushkar . 2N Udaipur,15-05-2021,Mumbai,Spicejet|IndiGo,2,3
Premium,New Delhi|Agra|Jaipur|Udaipur,1N New Delhi . 1N Agra . 2N Jaipur . 2N Udaipur,16-09-2021,Mumbai,Not Available,0,5
Deluxe,Jaisalmer|Jodhpur,2N Jaisalmer . 1N Jodhpur,16-07-2021,New Delhi,Not Available,1,3
Deluxe,Coorg,3N Coorg,9/12/2021,Mumbai,Go Air,1,3
Deluxe,Shimla|Manali|Chandigarh,3N Shimla . 3N Manali . 1N Chandigarh,30-01-2021,Mumbai,IndiGo,1,3
Deluxe,Madurai|Rameshwaram|Kumbakonam|Tanjore|Tiruchirapally,1N Madurai . 2N Rameshwaram . 2N Kumbakonam . 1N Tanjore . 1N Tiruchirapally,17-12-2021,New Delhi,IndiGo|IndiGo,1,3
Deluxe,Dambulla|Nuwara Eliya|Colombo,1N Dambulla . 2N Nuwara Eliya . 1N Colombo,21-04-2022,New Delhi,IndiGo|IndiGo|IndiGo|IndiGo,1,3
Premium,Paris,4N Paris,8/5/2021,Mumbai,EgyptAir|EgyptAir|EgyptAir|EgyptAir,0,5
Deluxe,Munnar|Thekkady|Allepey,2N Munnar . 1N Thekkady . 1N Allepey,13-05-2021,Mumbai,IndiGo,1,3
Premium,Ooty,3N Ooty,22-10-2021,New Delhi,IndiGo,0,5
Deluxe,Bangalore|Mysore|Ooty|Kodaikanal,1N Bangalore . 1N Mysore . 2N Ooty . 2N Kodaikanal,14-05-2021,New Delhi,Vistara|Spicejet,1,3
Premium,Ajmer|Jaipur,1N Ajmer . 2N Jaipur,11/3/2021,Mumbai,Go Air,0,5
Premium,Jodhpur|Jaisalmer|Bikaner,1N Jodhpur . 2N Jaisalmer . 1N Bikaner,19-10-2021,New Delhi,Not Available,0,5
Standard,Munnar|Allepey|Varkala|Kovalam,2N Munnar . 1N Allepey . 1N Varkala . 2N Kovalam,13-05-2021,Mumbai,IndiGo|Spicejet,2,3
Luxury,Parwanoo|Shimla|Chail,1N Parwanoo . 3N Shimla . 1N Chail,29-03-2021,New Delhi,Not Available,0,4
Luxury,Srinagar|Pahalgam|Srinagar,1N Srinagar . 1N Pahalgam . 2N Srinagar,30-04-2021,Mumbai,Spicejet|Spicejet,0,4
Luxury,Pondicherry,3N Pondicherry,8/10/2021,Mumbai,Spicejet,0,4
Deluxe,Gangtok|Pelling|Darjeeling,3N Gangtok . 2N Pelling . 2N Darjeeling,24-07-2021,New Delhi,Spicejet,1,3
Deluxe,Srinagar|Pahalgam|Srinagar,3N Srinagar . 1N Pahalgam . 1N Srinagar,27-04-2021,New Delhi,IndiGo|Spicejet,1,3
Standard,Dalhousie|Dharamshala,2N Dalhousie . 2N Dharamshala,27-03-2021,New Delhi,Not Available,2,3
Premium,Guwahati|Shillong|Kaziranga,1N Guwahati . 3N Shillong . 1N Kaziranga,10/4/2021,New Delhi,IndiGo,0,5
Premium,Port Blair|Havelock|Port Blair,1N Port Blair . 2N Havelock . 2N Port Blair,29-04-2021,Mumbai,Spicejet|Spicejet,0,5
Premium,Leh,4N Leh,14-09-2021,New Delhi,Go Air,0,5
Deluxe,Dalhousie|Manali,2N Dalhousie . 3N Manali,24-07-2021,New Delhi,Not Available,1,3
Premium,New Delhi|Agra|Jaipur|Pushkar,1N New Delhi . 1N Agra . 2N Jaipur . 1N Pushkar,19-09-2021,Mumbai,Vistara,0,5
Premium,Coorg,3N Coorg,7/5/2021,New Delhi,Not Available,0,5
Luxury,Mussoorie|Rishikesh,2N Mussoorie . 1N Rishikesh,15-02-2021,New Delhi,Not Available,0,4
Premium,Udaipur|Jodhpur|Jaisalmer,2N Udaipur . 1N Jodhpur . 2N Jaisalmer,24-11-2021,New Delhi,IndiGo|IndiGo,0,5
Standard,Darjeeling|Gangtok|Kalimpong,2N Darjeeling . 2N Gangtok . 1N Kalimpong,11/10/2021,Mumbai,IndiGo|IndiGo,2,3
Premium,Cochin|Munnar|Thekkady|Allepey,1N Cochin . 2N Munnar . 1N Thekkady . 1N Allepey,21-07-2021,New Delhi,IndiGo,0,5
Premium,Munnar|Thekkady|Allepey|Kovalam and Poovar,2N Munnar . 1N Thekkady . 1N Allepey . 2N Kovalam and Poovar,13-02-2021,New Delhi,IndiGo|Spicejet,0,5
Standard,Shimla|Manali|Chandigarh,2N Shimla . 3N Manali . 1N Chandigarh,9/7/2021,New Delhi,Not Available,2,3
Standard,Munnar|Allepey,2N Munnar . 1N Allepey,20-06-2021,New Delhi,IndiGo,2,3
Premium,Agra,2N Agra,30-10-2021,New Delhi,Not Available,0,5
Deluxe,Dalhousie|Dharamshala|Amritsar,2N Dalhousie . 2N Dharamshala . 1N Amritsar,18-07-2021,New Delhi,Not Available,1,3
Deluxe,Cochin|Munnar|Allepey,1N Cochin . 2N Munnar . 2N Allepey,1/5/2021,New Delhi,IndiGo,1,3
Premium,New Delhi|Shimla|Manali|Chandigarh,1N New Delhi . 2N Shimla . 2N Manali . 1N Chandigarh,22-07-2021,Mumbai,Spicejet,0,5
Luxury,Udaipur,2N Udaipur,7/8/2021,New Delhi,Not Available,0,4
Standard,Srinagar|Gulmarg,3N Srinagar . 2N Gulmarg,30-09-2021,Mumbai,IndiGo,2,3
Premium,Shimla|Manali,3N Shimla . 3N Manali,4/11/2021,Mumbai,Go Air,0,5
Luxury,Coorg,2N Coorg,14-05-2021,New Delhi,IndiGo,0,4
Premium,Jaipur,3N Jaipur,29-04-2021,New Delhi,Not Available,0,5
Standard,Cochin|Munnar|Thekkady|Allepey,1N Cochin . 2N Munnar . 1N Thekkady . 1N Allepey,19-10-2021,New Delhi,IndiGo,2,3
Premium,Bangalore|Mysore|Coorg|Ooty,1N Bangalore . 1N Mysore . 2N Coorg . 2N Ooty,15-09-2021,Mumbai,IndiGo,0,5
Standard,Srinagar|Pahalgam|Srinagar,1N Srinagar . 2N Pahalgam . 2N Srinagar,21-09-2021,Mumbai,Spicejet|Spicejet,2,3
Deluxe,Shimla|Manali|Dharamshala,2N Shimla . 3N Manali . 2N Dharamshala,1/2/2022,New Delhi,IndiGo|Spicejet|Spicejet,1,3
Luxury,Kandy|Nuwara Eliya|Yala|Bentota|Colombo,1N Kandy . 1N Nuwara Eliya . 1N Yala . 1N Bentota . 1N Colombo,28-01-2022,New Delhi,Not Available,0,4
Deluxe,Corbett|Ranikhet|Nainital,2N Corbett . 2N Ranikhet . 2N Nainital,8/10/2021,New Delhi,Not Available,1,3
Standard,Allepey|Kovalam and Poovar,1N Allepey . 2N Kovalam and Poovar,5/10/2021,Mumbai,IndiGo|IndiGo,2,3
Deluxe,Gangtok|Lachung|Gangtok|Pelling|Darjeeling,2N Gangtok . 2N Lachung . 1N Gangtok . 2N Pelling . 2N Darjeeling,9/9/2021,Mumbai,IndiGo|IndiGo,1,3
